Course,Book_ID,Topic,Bookclub,Pseudonym,Message,CodePreliminary,Message_Time,Is_Answer,Page,Response_Number
PIM P1, , , , ,"If the secret was shared with the community, I also think that it would be her informant that would be punished.",Content Discussion, , , ,32
PIM P1, , , , ,I had not considered Ashley's idea that this experience might be an ,Content Discussion, , , ,32
DigStorytelling P1,265,"What happens next?  ...and please tie it to design, in some way.",Book Club One,dig-01,Or do we want to focus on the reporter's experience?,Content Question,5.11.2020 13:02,No,8,11
DigStorytelling P1,265,"What happens next?  ...and please tie it to design, in some way.",Book Club One,dig-01,and we want to explore that part of the story? ,Content Question,5.11.2020 13:02,No,8,11
DigStorytelling P1,265,"What happens next?  ...and please tie it to design, in some way.",Book Club One,dig-01,"Do we think that Maier will return, ",Content Question,5.11.2020 13:02,No,8,11
DigStorytelling P1,265,"What happens next?  ...and please tie it to design, in some way.",Book Club One,dig-02,Maier is a jerk and it's evident already!,Content Discussion,9.11.2020 20:49,No,8,11
DigStorytelling P1,265,"What happens next?  ...and please tie it to design, in some way.",Book Club One,dig-02,"As you said, Meg, ",Response,9.11.2020 20:49,No,8,11
DigStorytelling P1,265,"What happens next?  ...and please tie it to design, in some way.",Book Club One,dig-02,about the reporter starting the discussion with mentioning another designer.,Content Discussion,9.11.2020 20:49,No,8,11
DigStorytelling P1,265,"What happens next?  ...and please tie it to design, in some way.",Book Club One,dig-02," I also agree with you, Michelle, on focusing on the reporter's experience.",Response,9.11.2020 20:49,No,8,11
DigStorytelling P1,265,"What happens next?  ...and please tie it to design, in some way.",Book Club One,dig-02,I feel like Maier is playing a cruel game on the reporter and this will probably turn into some kind of metaphor or lesson of sorts.,Content Discussion,9.11.2020 20:49,No,8,11
DigStorytelling P1,265,"What happens next?  ...and please tie it to design, in some way.",Book Club One,dig-02," Had that been me, I'd be so nervous!",General Comment,9.11.2020 20:49,No,8,11
DigStorytelling P1,265,"What happens next?  ...and please tie it to design, in some way.",Book Club One,dig-02,"Meg, I agree with what you said  ",Response,9.11.2020 20:49,No,8,11
DigStorytelling P1,265,"What happens next?  ...and please tie it to design, in some way.",Book Club Three,dig-04,"I think the system is looking for a ""too busy"" response because of the pattern on the jacket. ",Content Discussion,4.11.2020 11:10,No,5,13
DigStorytelling P1,265,"What happens next?  ...and please tie it to design, in some way.",Book Club Three,dig-04, I also think that the collars of both the jacket and the shirt underneath it are too similar and would not lie down smoothly.,Content Discussion,4.11.2020 11:10,No,5,13
DigStorytelling P1,265,"What happens next?  ...and please tie it to design, in some way.",Book Club Three,dig-04,I also think that the collars of both the jacket and the shirt underneath it are too similar and would not lie down smoothly.,Content Discussion,11.11.2020 19:39,No,,13
DigStorytelling P1,265,"What happens next?  ...and please tie it to design, in some way.",Book Club Three,dig-04,"I think the system is looking for a ""too busy"" response because of the pattern on the jacket. ",Content Discussion,11.11.2020 19:39,No,,13
DigStorytelling P1,265,"What happens next?  ...and please tie it to design, in some way.",Book Club Three,dig-06,I think we're supposed to come up with what happens next in the story.,Assignment Instructions,12.11.2020 14:52,No,8,13
DigStorytelling P1,265,"What happens next?  ...and please tie it to design, in some way.",Book Club Four,dig-07,I love that!,Feedback,12.11.2020 16:49,No,8,14
DigStorytelling P1,265,"What happens next?  ...and please tie it to design, in some way.",Book Club Four,dig-08,I wrote something about a hidden door but I don't know what would be behind it.,Content Discussion,9.11.2020 20:17,No,8,14
DigStorytelling P1,265,"What happens next?  ...and please tie it to design, in some way.",Book Club Four,dig-08,What do we want our button to do? ,Logistics,9.11.2020 20:17,No,8,14
DigStorytelling P1,265,"What happens next?  ...and please tie it to design, in some way.",Book Club Four,dig-08,"kind of ominous,",Content Discussion,10.11.2020 13:21,No,6,14
DigStorytelling P1,265,"What happens next?  ...and please tie it to design, in some way.",Book Club Four,dig-08, buuuuut,General Comment,10.11.2020 13:21,No,6,14
DigStorytelling P1,265,"What happens next?  ...and please tie it to design, in some way.",Book Club Four,dig-09,lol,Emoticon/Non-verbal,10.11.2020 11:33,No,8,14
DigStorytelling P1,265,"What happens next?  ...and please tie it to design, in some way.",Book Club Four,dig-09,Another minimalist room ,Content Discussion,10.11.2020 11:33,No,8,14
DigStorytelling P1,265,"What happens next?  ...and please tie it to design, in some way.",Book Club Four,dig-09,Pretty bizarre situation,Content Discussion,10.11.2020 11:34,No,8,14
DigStorytelling P1,265,"What happens next?  ...and please tie it to design, in some way.",Book Club Four,dig-09,Oh wow! ,Response,10.11.2020 17:31,No,5,14
DigStorytelling P1,265,"What happens next?  ...and please tie it to design, in some way.",Book Club Four,dig-09, I love it!,Feedback,10.11.2020 17:31,No,5,14
DigStorytelling P1,265,"What happens next?  ...and please tie it to design, in some way.",Book Club Four,dig-09,"Just read below,",Response,10.11.2020 17:31,No,5,14
DigStorytelling P1,265,"What happens next?  ...and please tie it to design, in some way.",Book Club Five,dig-10,"Not only do I not know exactly how long I've been in here since he took my smart phone, I also have no foreseeable way out!",Content Discussion,10.11.2020 13:21,No,8,15
DigStorytelling P1,265,"What happens next?  ...and please tie it to design, in some way.",Book Club Five,dig-10,"Thoughts on what happens next: Wow, I know that designers tend to be a bit quirky, but his guy is done right weird. Not only do I not know exactly how long I've been in here since he took my smart phone, I also have no foreseeable way out!",Content Discussion,10.11.2020 13:21,No,8,15
DigStorytelling P1,265,"What happens next?  ...and please tie it to design, in some way.",Book Club Five,dig-10," Wow, I know that designers tend to be a bit quirky, but his guy is done right weird.",Content Discussion,10.11.2020 13:21,No,8,15
DigStorytelling P1,265,"What happens next?  ...and please tie it to design, in some way.",Book Club Five,dig-10,Did I offend him? ,Content Discussion,10.11.2020 19:57,No,8,15
DigStorytelling P1,265,"What happens next?  ...and please tie it to design, in some way.",Book Club Five,dig-10,He left right after I mentioned Zac Posen.,Content Discussion,10.11.2020 19:57,No,8,15
DigStorytelling P1,265,"What happens next?  ...and please tie it to design, in some way.",Book Club Five,dig-10,"Wow, I know that designers tend to be a bit quirky, but his guy is done right weird. ",Content Discussion,10.11.2020 19:57,No,8,15
DigStorytelling P1,265,"What happens next?  ...and please tie it to design, in some way.",Book Club Five,dig-10,"Just then, Maier walked back in - with none other than Zac Posen himself. ",Content Discussion,10.11.2020 19:57,No,8,15
