Response_Number,Grader_1_,Grader_2,Grader_3,Average,Collab_Response
35,1,,1,1,"Part 1: Ultimately, it is left for the reader to decide what is behind the door, and it would depend what they feel the princess cares about more - his life or him being married to another woman.
He sentences her to the same trial.
^Gina, that is a really interesting point that you make, that he sentences the princess to the same trial that he is on. The text describes the anxiety of being in a huge stadium with a roaring crowd and the fear of being killed horribly by a tiger, but at the same time, as you stated, the princess is herself in a greater trial than the man in that she has to decide whether to kill or not kill her lover who has hurt so deeply. That's a really insightful point, Gina! I hadn't thought of when I read the piece for the first time.
"
11,3,,2,25,"We feel that the reporter would be left to stew uncomfortably, awaiting Maier's return. Maier did state that he would return. Saudia suggessted that Maier would be returning with and using the experience to teach the reporter a lesson. This might be by making a statement. Zac Posen has a much more flamboyant style. Also, the aesthetics of the reporter's notepad and pen may have been off-putting to Maier. Taken together, this would not have been acceptable to Maier's sense of style."
21,3,,4,35,"1. The article discusses the way in which design always looks forward. The problem is that designers tend to design towards a future that is better where we have the same resources and less/similar problems. For example, the previous design models helped to feed the cause of the COVID pandemic. As the article stated, city designs (where people are stacked on top of each other in small, expensive housing) is not sustainable and contributed to the spread of the disease. Unfortunately, when design tries to solve one problem (in this case, overpopulation), it can cause others. Now, midst the COVID pandemic, it's become somewhat of a Catch-22 because the more we try to socially distance, the more space we will need. If humans continue to spread out in unsustainable ways, then nature will suffer and lead to more natural catastrophes. 2. Designers for the future must take into consideration many factors that they may not have previously. As we're faced with climate change and catastrophes caused by this kind of design, designers have to start designing towards a future bent on sustainability. We should consider prototypes that will create a sustainable future in quantifiable steps that have a widespread effect and won't leave people in urban areas or people in poverty behind. One way to look forward to a sustainable future is to study the designs of marginalized populations. For example, Julia Watson, urban designer and activist seeks answers from Indigenous people around the world because of their long practice in handling climatological disasters and other unforeseen events. One way to invest in our future is to recruit, support, and mentor designers from marginalized communities with perspectives most mainstream designers don't have. Additionally, designers of the future might have to actually look at ways to use less technology more proactively, since sometimes technology can cause more problems than it solves."
51,3,,3,3,"Upon the realization, the room was locked, the narrator began to panic. This was supposed to be a simple interview, not an escape room. He began to bang on the door but there was no response. Without his cell phone he was trapped with no way to call for help. The sleek lines of room revealed no apparent intercom, no way to call for help. He further inspected the gray inset of the walls and noticed they also had a spot for a person to place their fingers. They seemed to be just the perfect size for someone's fingertips. Maier didn't seem like the type to take kindly to someone messing with his stuff. He wondered do the walls open? Are there drawers? What could be inside these gray insets? They had to have a purpose otherwise they wouldn't exist. ""Zac Posen would never put me through this,"" he thought with a sigh."
12,4,,3,35,"Just when I thought I would never get out of that room, Maier came barging back inside.
""Zac Posen is exactly what the fashion design industry needs right now. He's taking minimalism to a whole new level with his genderless, basic white shirts and black bottoms.""
In his hands he held a recent New York magazine which profiled Zac Posen on the front cover. The article was what had prompted my intervew of Mr. Posen as he continues to rise to fame.
""Sorry for the delay. I was looking for this cover story so we could discuss it,"" Maier said.
""Not to worry. In fact, this article is the very reason I interviewed Zac Posen recently,"" I noted, ""but I am curious of your thoughts. Mr. Posen told me that his next collection will be more ornate, more colorful, more gaudy. This is quite a drastic move away from his more sudued style, don't you agree?""
Maier fixated on the cover of the magazine. Then, rather vehemntly, he cried, ""Simple design is always complicated. What Zac Posen is about to do is just tacky. No, no...this simply will not do!"" And he rushed out of the room again, leaving me trapped inside.
Again I waited and it felt like forever. Suddenly Maier came rushing back into the room with an arm full of new designs. ""This! This is what the design world needs right now!"" He showed me the first few designs he was holding and I was astounded.
The models in his new designs were essentially nude - except for a few pieces of minimalist jewelry and Maier's treasured sack of a handbag.
""This! This is where we need to move - strip it all away!"" he said.
With that, I decided I had better ways to use my time. I packed up my things and said, ""Well, thank you so much for your time. Where's the nearest exit? Goodbye.
"
25,4,,3,35,"Part 1.This article relates to the design perspective, becuase in the world of COVID-19, design is more important than ever. Housing in cities has been designed in the past to put as many people as possible into a very small space. this has created a problem with COVID being spread in gatherings of people less than 6 feet apart. This should be considered in the future, as it seems that Covid may not be going away anytime soon. I liked the example in the article about the fact that people are going to start wanting bunkers instead of apartments and farming their food instead of purchasing it. I thought that was an interesting prediction, and one I have been seeing come true amongst family members. Another way in which this article relates to the design perspective is that it works to question what, exactly, design is, discussing the broadness of the term and whether or not design is fundamentally an individual or collaborative act while discussing how design, while looking towards the future, also needs to consider the regrets of the past, focusing on learning from mistakes and building sustainable ways to build forward rather than coming up with needlessly and uselessly twee ideas or perpetuating the current flawed system, pointing out how COVID spreads in part because of structures and systems designed with sort-term gain rather than public health in mind for example.
Part 2. For a resilient future, prototypes should be focused on finding ways to allow people to interact while still being safe from spreading illnesses. This has become a large focus due to the negative impact that COVID-19 has had on not only the economy, but also on societal relationships. There will also be a continuation to find methods to promote green efforts and reduce the carbon footprint as illustrated with the move to solar enegry in many areas an companies, like Amazon, who are making plans to transition their fleets to electric over the next several years. There will also be a trend towards more self-sustaining farming with new ways to allow people to grow plants even in a suburban setting where there is minimal extra space for such ventures. These prototypes should also work to be willing to learn from the past, noting what designs have failed to do what needs to be done rather than continuing along poorly concieved paths, and they should be focused on pratical pursuits rather than risking pursuits that end up designed, to paraphrase the article, for futures that never come to pass. They should also be built in a way that doesn't make unneccesary compromises to its core ideals, such as the planned ""utopian"" city that ended up falling through becuase their plans to do so involved destroying the enviroment they claimed to want to save
"
42,4,,4,4,"Part 1 : Why does the article content relate to the design perspective?
Upon reading the article, “CREW Design for Future when Future Bleak,” one can instantly make the connection between design and environmental dangers, especially man-made ones. Humans have undoubtedly contributed positive and pragmatic solutions to the everyday problems we face; however, we are also the cause of the problems, if not the catalyst that has magnified these. The article talks about urban and rural designs and how perhaps without us realizing it, influence (and vice versa) the way we relate to the world and to each other.
For example, the process of farming contributes to how we relate to food, poverty, malnutrition, animals, disease, etc.; the architecture in urban areas program us to relate to technology, communication, even our own identities in a transformative way. Specifically referring to Covid-19, the article touched on a factual piece of information which proves that this pandemic will not be the last mass threat to human life or our experience with quarantine, “Covid-19 is, after all, a zoonotic disease, like SARS or Ebola, and it is the result of habitat destruction, of animals that humans shouldn’t be in contact with getting too close to our livestock as a result of over-farming and development — problems in which design has played no small part.” The entitlement, intrusiveness, and negligence through which we raid, dominate, and abuse the natural environment has always had consequences, but through the years, our carbon footprint has exponentially grown and fatally affected the livelihood of living organisms of which we thought were inconsequential. However, Covid-19 shattered the false sense of security and the master narrative we told ourselves as we continued to pillage.
As a society, we need to move forward with humility and purpose if are planning on extending life on earth. Our individual safety and liberties depend on our treatment of others, not just humans. As Brand said, “[humans are responsible to live up to the] power of the individual to conduct his own education, find his own inspiration, shape his own environment, and share his own adventure with whoever is interested.” Although saving the planet and living sustainably is a collective effort, Brand highlights the power and boldness one individual has to change the world, to be unconventional, and combine practical engineering with creative thinking to design a world worth saving.
Part 2: What sort of prototypes should be considered for a resilient future?As we begin to evaluate and contribute to a solution for a more resilient future for all beings we must consider conveniences we have designed that can be eliminated. The article speaks about how we have moved far away from a life of necessity into a life of what is fastest and most convenient. ""Design, like planning, was the profession most concerned with the future. Today is not so different, but what we mean by “the future,” a utopian ideal throughout much of the 20th century, is now undeniably much darker as we progress further into the 21st. To look ahead at what role design will play on an increasingly troubled planet takes us back to the fundamental polysemy behind the word itself. "" We must reimagine the role of design and make a quick and valuable prototype that helps us to correct the ""regrets"" of our past. Our prototypes must include change and corrective action to the normalcies designed for our current world that have engaged and extended a path of danger and darkness causing this more bleak future we envision today. Extending our solutions to contribute to a utopian existence for all versus one for just humans. It is important that we use design to improve on the way we currently live but be open minded to the changes needed to allow for our existence to be more sustainable. Our response to Covid has shown that we can in fact re-design our current world in a way that we respond to different issues that face our communities and our world as a whole. Collaboration of lifestyles from all over the world can allow us to find trends and positive lifestyle design that can ignite a brighter view of the future. ""Lo-TEK imagines that the knowledge of how to survive the future is already embedded in low-energy, often ancient practices."" We can take the lessons of yesterday and today then combine it with varied approaches to life to create a prototype that truly creates a future of hope and beauty leading us to a life of meaning and positive influence. This article made me think of visiting EPCOT in their living with the land experience. Farming has come a long way. Seeing all the ways that they are planting vertically and using a track system instead of just farming horizontally on the ground is amazing. By farming that way, any extra water that was dropping from the vertical planters were being deposited on the plants below. It's a great example of what Ditzler was saying in the article, “how to feed everyone on this overloaded globe, and how to do it in a way that doesn’t render the earth uninhabitable.” We need more prototypes like these to have a more resilient future. COVID has changed the ways that we are living and thinking. People are being more creative with everyday life. During the quarantine people started planting their own gardens and making more of outdoor living spaces. I liked how the article referenced how a pizzeria in Italy stayed open by offering slices through a window. Here in the US bars are being forced to stay closed unless they are selling food. This has created a need for food trucks that otherwise might not have a place to open. These relationships are keeping businesses open and saving our economy. These might just be small scale changes like the article mentions. We need more forward thinkers to help put in place large scale initiatives.
"
63,4,,4,4,"Part 1: Why does the article content relate to the design perspective?
It is all about design, but design with a much wider scope than things like furniture and the ""arrangement of interior space"" as the article describes it. This is about designing for the future,
designing to cope with futuristic (or not so futuristic now) problems like climate change and pandemics. In design, it is difficult to design to a future that does not exist, when designs may cease to be relevant in our future climate and culture.
Part 2: What sort of prototypes should be considered for a resilient future?
Billy Fleming, director of U Penn's McHarg Center, says that for a resilient future, ""We don't need playful design proposals. We need high-impact built projects."" An example from this article is Ian McHarg's 1974 Woodlands Community, ""organized around restoring and protecting the area's water cycles,"" with a mixed-income population.
Our collaborative discussion in this instance focused on prototypes for life and education in a COVID-impacted environment. We asked, with the onset of biological, climate and political unrest, where does typical learning occur? Remote learning for children is difficult to sustain, with considerations of supervision, technical accommodations, and parents who need to work. Depending on the location, there may also be requirements for children to attend in-person school. We present a high-impact prototype designed to address fears of contagious disease while facilitating ease of learning and communication.
The Health Information Technology System (HITS) helmet is full-faced head gear with 5G to connect to networks and send/receive communication from teachers, students and peers. HITS reports real-time vitals (temps, heart rate, eye movements, etc.) and is enhanced with augmented reality (AR) features. AR assets would be tagged by authorized users, submitted and hosted online (think ""Cyber Congressional Library"") for HITS to display the AR overlays. For schoolchildren, imagine field trips with the learners scanning objects in AR using the helmet, to include GEO tracking, proximity alerts, and warnings such as elevated temperature.
Head gear with respiratory function exists in a military context, for example as seen here: https://www.army.mil/article/125327/Army_designing_next_generation_protective_mask/ A more child-friendly design is envisioned for this prototype. An example of an AR interface with proximity warning is here: https://miro.medium.com/max/2800/0*MqJFT-uDEa1-Crmv.png
"
13,0,0,0,0,
24,0,0,0,0,
