Course,Book_ID,Topic,Bookclub,Pseudonym,Message,CodePreliminary,Message_Time,Is_Answer,Page
DigStorytelling P1,264,"What happens next?  ...and please tie it to design, in some way.",Book Club One,dig-12,She is unable to leave the room.  She waits for him to come back.,Content Discussion,4.11.2020 10:19,false,8
DigStorytelling P1,264,"What happens next?  ...and please tie it to design, in some way.",Book Club One,dig-24,As I waited for him to return I began to explore the room in case there was a hidden door.,Content Discussion,5.11.2020 22:19,false,8
DigStorytelling P1,264,"What happens next?  ...and please tie it to design, in some way.",Book Club One,dig-22,"I started exploring the room for a key or hidden passageway. We had passed through several passages on our way here, so surely there was a way to get out of here besides the door.",Content Discussion,6.11.2020 13:21,false,8
DigStorytelling P1,264,"What happens next?  ...and please tie it to design, in some way.",Book Club One,dig-11,"He'd reacted strangely as soon as I mentioned Zac Posen, a designer infamous for the kind of intricate details that Maier would find unnecessary at best and ostentatious at worst. I bit my lip, trying not to panic. Why had he locked the door? What if he wasn't planning on coming back? No one would be able to hear me if I screamed. Even if I managed to throw a chair at the window and crack it, I was too far up and out of the way for anyone to see me or react to the chair. But surely...surely he wasn't ",Content Discussion,6.11.2020 22:52,false,8
DigStorytelling P1,264,"What happens next?  ...and please tie it to design, in some way.",Book Club One,dig-11,planni,Incomplete/Typo,6.11.2020 22:52,false,8
DigStorytelling P1,264,"What happens next?  ...and please tie it to design, in some way.",Book Club One,dig-11,"planning on just leaving me here. I took a deep breath and started to explore the room. Maybe this was some sort of a weird test. Maybe there was a way out of here. I looked for anything that might be out of place, anything that would seem extravagant to Maier.",Content Discussion,6.11.2020 22:54,false,8
DigStorytelling P1,264,"What happens next?  ...and please tie it to design, in some way.",Book Club One,dig-23,"(Considering the phrasing of the instructions in the announcement I had the impression we were supposed to discuss the possibility of the ending with each other before typing anything, but oh well)",Assignment Instructions,7.11.2020 00:27,false,8
DigStorytelling P1,264,"What happens next?  ...and please tie it to design, in some way.",Book Club One,dig-23,(That was not meant to be sent without the rest of the message),General Comment,7.11.2020 00:32,false,8
DigStorytelling P1,264,"What happens next?  ...and please tie it to design, in some way.",Book Club One,dig-23," Ultimately I was unable to find anything that might be useful, I reluctantly retreated to my seat and began my vigil. It was... interesting, waiting for the eccentric designer to return. Quite difficult to avoid squirming in my chair as I struggle to distract myself in the minimalistic room before Tomas returned, holding a selection of pictures in hand. Look at these. Look carefully. Tell me what you see."" I found myself examining the ",Content Discussion,7.11.2020 00:32,false,8
DigStorytelling P1,264,"What happens next?  ...and please tie it to design, in some way.",Book Club One,dig-23,"selectio""",Incomplete/Typo,7.11.2020 00:32,false,8
DigStorytelling P1,264,"What happens next?  ...and please tie it to design, in some way.",Book Club One,dig-18,"My hand still on the door, I look up. Knowing that he must be watching somewhere, somehow, despite the apparent lack of visible security cameras, I will myself to calm my face. I trail my fingers across the wall as I begin to leisurely walk the length of the room, checking each panel for a hidden trap that will trigger something, anything, else to happen.",Content Discussion,8.11.2020 12:25,false,8
