Course,Book_ID,Topic,Bookclub,Pseudonym,Message,CodePreliminary,Message_Time,Is_Answer,Page
DigStorytelling P2,`,Part 1) Why does the article content relate to the design perspective? And Part 2) What sort of prototypes should be considered for a resilient future?,Book Club Five,dig-24,... and then if we are good with everything before submitting the assignment.,Logistics,22.11.2020 13:43,No,11
DigStorytelling P2,`,Part 1) Why does the article content relate to the design perspective? And Part 2) What sort of prototypes should be considered for a resilient future?,Book Club Five,dig-24, I am planning on checking in later to see what he adds ...,Logistics,22.11.2020 13:43,No,11
PIM P1, , , , ,"If the secret was shared with the community, I also think that it would be her informant that would be punished.",Discussion, , , 
PIM P1,260,"Part 1: What happens next? What is behind the door, the lady or the tiger?  Part 2: Later, the King discovers that his daughter has broken the law.  How does the King respond? What happens?",Book Club Five,pim-13,"There seems to be very little compassion or empathy displayed by the king or the princess  even when the princess thinks of her lover  she thinks of herself not necessarily him.""",Discussion,5.11.2020 9:27,No,9
PIM P1,260,"Part 1: What happens next? What is behind the door, the lady or the tiger?  Part 2: Later, the King discovers that his daughter has broken the law.  How does the King respond? What happens?",Book Club Five,pim-13,"Hi John, ",Greeting,5.11.2020 9:27,No,9
PIM P1,260,"Part 1: What happens next? What is behind the door, the lady or the tiger?  Part 2: Later, the King discovers that his daughter has broken the law.  How does the King respond? What happens?",Book Club Five,pim-13,"I feel that it would be fitting for the king to sentence her to the same trial, because they king and princess are both constantly described as semi-barbaric"" throughout the text.",Discussion,5.11.2020 9:27,No,9
PIM P1,260,"Part 1: What happens next? What is behind the door, the lady or the tiger?  Part 2: Later, the King discovers that his daughter has broken the law.  How does the King respond? What happens?",Book Club Two,pim-04,SUBMITTED,Logistics,1.11.2020 20:30,No,10
PIM P1,260,"Part 1: What happens next? What is behind the door, the lady or the tiger?  Part 2: Later, the King discovers that his daughter has broken the law.  How does the King respond? What happens?",Book Club Two,pim-05,because while I agree with the first part said,Response,2.11.2020 11:16,No,10
PIM P1,260,"Part 1: What happens next? What is behind the door, the lady or the tiger?  Part 2: Later, the King discovers that his daughter has broken the law.  How does the King respond? What happens?",Book Club Two,pim-05,s,Incomplete/Typo,2.11.2020 11:16,No,10
PIM P1,260,"Part 1: What happens next? What is behind the door, the lady or the tiger?  Part 2: Later, the King discovers that his daughter has broken the law.  How does the King respond? What happens?",Book Club Two,pim-05,Love does have a way of changing how we think and make valuable decisions like this one,Discussion,2.11.2020 11:16,No,10
PIM P1,260,"Part 1: What happens next? What is behind the door, the lady or the tiger?  Part 2: Later, the King discovers that his daughter has broken the law.  How does the King respond? What happens?",Book Club Two,pim-05,but I figured I might as well add to this,Logistics,2.11.2020 11:16,No,10
PIM P1,260,"Part 1: What happens next? What is behind the door, the lady or the tiger?  Part 2: Later, the King discovers that his daughter has broken the law.  How does the King respond? What happens?",Book Club Two,pim-05," I have to say, the line of thinking is still technically flawed.",Discussion,2.11.2020 11:16,No,10
PIM P1,260,"Part 1: What happens next? What is behind the door, the lady or the tiger?  Part 2: Later, the King discovers that his daughter has broken the law.  How does the King respond? What happens?",Book Club Two,pim-05,Just because she comes from a semi-barbaric King does not make her semi-barbaric. ,Discussion,2.11.2020 11:16,No,10
PIM P1,260,"Part 1: What happens next? What is behind the door, the lady or the tiger?  Part 2: Later, the King discovers that his daughter has broken the law.  How does the King respond? What happens?",Book Club Two,pim-05,"While Jealousy is a strong determinate, Love is often stronger, and it would make sense to allow her lover to live out of love just as much as it would make",Discussion,2.11.2020 11:16,No,10
PIM P1,260,"Part 1: What happens next? What is behind the door, the lady or the tiger?  Part 2: Later, the King discovers that his daughter has broken the law.  How does the King respond? What happens?",Book Club Two,pim-05,I am late to the discussion ,Greeting,2.11.2020 11:16,No,10
PIM P1,260,"Part 1: What happens next? What is behind the door, the lady or the tiger?  Part 2: Later, the King discovers that his daughter has broken the law.  How does the King respond? What happens?",Book Club Two,pim-05,"However, basing a decision on her own thought process, that I can get behind",Discussion,2.11.2020 11:17,No,10
PIM P1,260,"Part 1: What happens next? What is behind the door, the lady or the tiger?  Part 2: Later, the King discovers that his daughter has broken the law.  How does the King respond? What happens?",Book Club Two,pim-05,The princess has no qualms about her lover dying but,Discussion,2.11.2020 11:17,No,10
PIM P1,260,"Part 1: What happens next? What is behind the door, the lady or the tiger?  Part 2: Later, the King discovers that his daughter has broken the law.  How does the King respond? What happens?",Book Club Two,pim-05,and Meg brought and interesting topic of the difference between how the princess rambles on about him opening the door with the lady but barely mentions him opening the door with the tiger.,Discussion,2.11.2020 11:17,No,10
PIM P1,260,"Part 1: What happens next? What is behind the door, the lady or the tiger?  Part 2: Later, the King discovers that his daughter has broken the law.  How does the King respond? What happens?",Book Club Two,pim-05,Basing a decision on her lineage is not exactly a strong source in my opinion.,Discussion,2.11.2020 11:17,No,10
PIM P1,260,"Part 1: What happens next? What is behind the door, the lady or the tiger?  Part 2: Later, the King discovers that his daughter has broken the law.  How does the King respond? What happens?",Book Club Two,pim-05,make sense to allow her lover to live out of love just as much as it would make sense for her to have him killed. ,Discussion,2.11.2020 11:17,No,10
PIM P1,260,"Part 1: What happens next? What is behind the door, the lady or the tiger?  Part 2: Later, the King discovers that his daughter has broken the law.  How does the King respond? What happens?",Book Club Two,pim-05,had great grief over her lover in another’s arms.,Discussion,2.11.2020 11:18,No,10
PIM P1,260,"Part 1: What happens next? What is behind the door, the lady or the tiger?  Part 2: Later, the King discovers that his daughter has broken the law.  How does the King respond? What happens?",Book Club Two,pim-05, Would the king even entertain that idea given it is his daughter?,Question,2.11.2020 11:18,No,10
PIM P1,260,"Part 1: What happens next? What is behind the door, the lady or the tiger?  Part 2: Later, the King discovers that his daughter has broken the law.  How does the King respond? What happens?",Book Club Two,pim-05,"Not to mention that if she had not helped him at all, and he opened the door with the female, would she still be under scrutiny?",Discussion,2.11.2020 11:18,No,10
PIM P1,260,"Part 1: What happens next? What is behind the door, the lady or the tiger?  Part 2: Later, the King discovers that his daughter has broken the law.  How does the King respond? What happens?",Book Club Two,pim-05,"As for the second part, only her lover saw her give the signal so the second part is questionable as it would be based on hearsay. ",Discussion,2.11.2020 11:18,No,10
PIM P1,260,"Part 1: What happens next? What is behind the door, the lady or the tiger?  Part 2: Later, the King discovers that his daughter has broken the law.  How does the King respond? What happens?",Book Club Two,pim-05,Who knows? ,Question,2.11.2020 11:18,No,10
PIM P1,260,"Part 1: What happens next? What is behind the door, the lady or the tiger?  Part 2: Later, the King discovers that his daughter has broken the law.  How does the King respond? What happens?",Book Club Two,pim-05,What would happen then?,Question,2.11.2020 11:18,No,10
PIM P1,260,"Part 1: What happens next? What is behind the door, the lady or the tiger?  Part 2: Later, the King discovers that his daughter has broken the law.  How does the King respond? What happens?",Book Club Two,pim-05,"Without someone seeing her give the signal, they really cannot accuse her of helping him",Discussion,2.11.2020 11:18,No,10
PIM P1,260,"Part 1: What happens next? What is behind the door, the lady or the tiger?  Part 2: Later, the King discovers that his daughter has broken the law.  How does the King respond? What happens?",Book Club Two,pim-06,"however, she only comments that a tiger would bring shrieks and blood. From her revealed thoughts, she is ",Discussion,20.10.2020 9:24,No,10
PIM P1,260,"Part 1: What happens next? What is behind the door, the lady or the tiger?  Part 2: Later, the King discovers that his daughter has broken the law.  How does the King respond? What happens?",Book Club Two,pim-06,"Either way she must love without him, but is she open-hearted enough to allow for him to love another?",Discussion,20.10.2020 9:24,No,10
PIM P1,260,"Part 1: What happens next? What is behind the door, the lady or the tiger?  Part 2: Later, the King discovers that his daughter has broken the law.  How does the King respond? What happens?",Book Club Two,pim-06,"It doesn't appear so. For instance, she discloses great agony, jealousy, and stress about the potential wedding between her lover and the lady behind the door;",Discussion,20.10.2020 9:24,No,10
PIM P1,260,"Part 1: What happens next? What is behind the door, the lady or the tiger?  Part 2: Later, the King discovers that his daughter has broken the law.  How does the King respond? What happens?",Book Club Two,pim-06,mor,Incomplete/Typo,20.10.2020 9:24,No,10
PIM P1,260,"Part 1: What happens next? What is behind the door, the lady or the tiger?  Part 2: Later, the King discovers that his daughter has broken the law.  How does the King respond? What happens?",Book Club Two,pim-06,"If the princess possesses the same semi-barbaric trait as her father, then it would seem she directed her lover to the door with the tiger. ",Discussion,20.10.2020 9:24,No,10
PIM P1,260,"Part 1: What happens next? What is behind the door, the lady or the tiger?  Part 2: Later, the King discovers that his daughter has broken the law.  How does the King respond? What happens?",Book Club Two,pim-06,"I would imagine,",Discussion,20.10.2020 9:25,No,10
PIM P1,260,"Part 1: What happens next? What is behind the door, the lady or the tiger?  Part 2: Later, the King discovers that his daughter has broken the law.  How does the King respond? What happens?",Book Club Two,pim-06,ima,Incomplete/Typo,20.10.2020 9:25,No,10
PIM P1,260,"Part 1: What happens next? What is behind the door, the lady or the tiger?  Part 2: Later, the King discovers that his daughter has broken the law.  How does the King respond? What happens?",Book Club Two,pim-06,"more upset with the prospect of him belonging to another, and so it is clear,",Discussion,20.10.2020 9:25,No,10
PIM P1,260,"Part 1: What happens next? What is behind the door, the lady or the tiger?  Part 2: Later, the King discovers that his daughter has broken the law.  How does the King respond? What happens?",Book Club Two,pim-06,"given the two terrible choices,",Discussion,20.10.2020 9:25,No,10
PIM P1,260,"Part 1: What happens next? What is behind the door, the lady or the tiger?  Part 2: Later, the King discovers that his daughter has broken the law.  How does the King respond? What happens?",Book Club Two,pim-06,If the King were to discover that his daughter broke the law by secretly sending her lover towards the door on the right,Discussion,20.10.2020 9:25,No,10
PIM P1,260,"Part 1: What happens next? What is behind the door, the lady or the tiger?  Part 2: Later, the King discovers that his daughter has broken the law.  How does the King respond? What happens?",Book Club Two,pim-06,"given that it is stressed he is semi-barbaric, he would choose not to send his daughter, whom he loves so dearly, to her potential death.",Discussion,20.10.2020 9:25,No,10
PIM P1,260,"Part 1: What happens next? What is behind the door, the lady or the tiger?  Part 2: Later, the King discovers that his daughter has broken the law.  How does the King respond? What happens?",Book Club Two,pim-06,she would send him to his death.,Discussion,20.10.2020 9:25,No,10
PIM P1,260,"Part 1: What happens next? What is behind the door, the lady or the tiger?  Part 2: Later, the King discovers that his daughter has broken the law.  How does the King respond? What happens?",Book Club Two,pim-06,he would have to send his daughter to the arena for a judgement. ,Discussion,20.10.2020 9:25,No,10
PIM P1,260,"Part 1: What happens next? What is behind the door, the lady or the tiger?  Part 2: Later, the King discovers that his daughter has broken the law.  How does the King respond? What happens?",Book Club Two,pim-06,"However, I also do not",Discussion,20.10.2020 9:25,No,10
PIM P1,260,"Part 1: What happens next? What is behind the door, the lady or the tiger?  Part 2: Later, the King discovers that his daughter has broken the law.  How does the King respond? What happens?",Book Club Two,pim-06,"Perhaps, instead of sending his daughter to the arena, he would send the person who gave her the information about the two doors instead.",Discussion,20.10.2020 9:26,No,10
PIM P1,260,"Part 1: What happens next? What is behind the door, the lady or the tiger?  Part 2: Later, the King discovers that his daughter has broken the law.  How does the King respond? What happens?",Book Club Two,pim-06, It could be argued that the informant is more guilty than the princess and is sent to show the kingdom the consequence of such behaviors.,Discussion,20.10.2020 9:26,No,10
PIM P1,260,"Part 1: What happens next? What is behind the door, the lady or the tiger?  Part 2: Later, the King discovers that his daughter has broken the law.  How does the King respond? What happens?",Book Club Two,pim-06,imagine this to be the catalyst that ends his idea of public punishment. ,Discussion,20.10.2020 9:26,No,10
PIM P1,260,"Part 1: What happens next? What is behind the door, the lady or the tiger?  Part 2: Later, the King discovers that his daughter has broken the law.  How does the King respond? What happens?",Book Club Two,pim-06,"(Sorry it came out as three separate messages! For some reason, it wouldn't post my full response at once.)",General Comment,20.10.2020 9:26,No,10
PIM P1,260,"Part 1: What happens next? What is behind the door, the lady or the tiger?  Part 2: Later, the King discovers that his daughter has broken the law.  How does the King respond? What happens?",Book Club Four,pim-11,Do you think that she kills him or saves him?,Question,20.10.2020 9:28,No,10
PIM P1,260,"Part 1: What happens next? What is behind the door, the lady or the tiger?  Part 2: Later, the King discovers that his daughter has broken the law.  How does the King respond? What happens?",Book Club Four,pim-11,What do you guys think? ,Question,20.10.2020 9:28,No,10
PIM P1,260,"Part 1: What happens next? What is behind the door, the lady or the tiger?  Part 2: Later, the King discovers that his daughter has broken the law.  How does the King respond? What happens?",Book Club Four,pim-11,What would you do in her place?,Question,20.10.2020 9:28,No,10
PIM P1,260,"Part 1: What happens next? What is behind the door, the lady or the tiger?  Part 2: Later, the King discovers that his daughter has broken the law.  How does the King respond? What happens?",Book Club Four,pim-12,So how do you guys think we should end it?,Question,21.10.2020 7:42,No,10
PIM P1,260,"Part 1: What happens next? What is behind the door, the lady or the tiger?  Part 2: Later, the King discovers that his daughter has broken the law.  How does the King respond? What happens?",Book Club Two,pim-06,I'm overall a little confused by this entire module ,General Comment,21.10.2020 9:17,No,10
PIM P1,260,"Part 1: What happens next? What is behind the door, the lady or the tiger?  Part 2: Later, the King discovers that his daughter has broken the law.  How does the King respond? What happens?",Book Club Two,pim-06,Perhaps the top of this page (where we type and send messages) is for planning and the bottom (open white area) is for writing an end to the story? ,Question,21.10.2020 9:17,No,10
PIM P1,260,"Part 1: What happens next? What is behind the door, the lady or the tiger?  Part 2: Later, the King discovers that his daughter has broken the law.  How does the King respond? What happens?",Book Club Two,pim-06,"The more I think about this activity, the more I wonder if we are supposed to be collaboratively writing an end to the story. ",Question,21.10.2020 9:17,No,10
PIM P1,260,"Part 1: What happens next? What is behind the door, the lady or the tiger?  Part 2: Later, the King discovers that his daughter has broken the law.  How does the King respond? What happens?",Book Club Two,pim-06,and am open to other thoughts/suggestions.,General Comment,21.10.2020 9:17,No,10
PIM P1,260,"Part 1: What happens next? What is behind the door, the lady or the tiger?  Part 2: Later, the King discovers that his daughter has broken the law.  How does the King respond? What happens?",Book Club Four,pim-11,Yeah that makes sense.,Response,26.10.2020 9:00,No,10
